AudioFile,LeftImageFile,RightImageFile,CorrectImage
kiiro_ika.wav,ichigo.jpg,ika.jpg,R
kiniro_usagi.wav,udedokei.jpg,usagi.jpg,R
giniro_epuron.wav,epuron.jpg,eakon.jpg,L
pinkuiro_kamera.wav,kame.jpg,kamera.jpg,R
mikaniro_kyuukyuusya.wav,kyuuri.jpg,kyuukyuusya.jpg,R
remoniro_kutushita.wav,kutushita.jpg,kureyon.jpg,L
chairo_koppu.wav,koppu.jpg,koin.jpg,L
akairo_kotatu.wav,kokeshi.jpg,kotatu.jpg,R
aoiro_shinbun.wav,si-so-.jpg,shinbun.jpg,R
hadairo_jisyaku.wav,jisyaku.jpg,jitensya.jpg,L
midoriiro_suka-to.wav,suka-to.jpg,su-tu.jpg,L
kogechairo_suzu.wav,supu-n.jpg,suzu.jpg,R
nezumiiro_sutoro-.wav,sushi.jpg,sutoro-.jpg,R
kiiro_sunadokei.wav,sunadokei.jpg,suberidai.jpg,L
kiniro_sofa-.wav,soujiki.jpg,sofa-.jpg,R
giniro_taihou.wav,taiya.jpg,taihou.jpg,R
pinkuiro_tyu-rippu.wav,tyu-rippu.jpg,tyuusyaki.jpg,L
mikaniro_tukue.wav,tukue.jpg,tume.jpg,L
remoniro_densya.wav,dentaku.jpg,densya.jpg,R
chairo_doraiya-.wav,doa.jpg,doraiya-.jpg,R
akairo_tokei.wav,tokei.jpg,torakku.jpg,L
aoiro_toranpetto.wav,toranpetto.jpg,tori.jpg,L
hadairo_naihu.wav,nabe.jpg,naihu.jpg,R
midoriiro_nawatobi.wav,nasubi.jpg,nawatobi.jpg,R
kogechairo_niwatori.wav,niwatori.jpg,ninjin.jpg,L
kiiro_nezumi.wav,nezumi.jpg,neko.jpg,L
nezumiiro_no-to.wav,nokogiri.jpg,no-to.jpg,R
kiniro_banana.wav,baketu.jpg,banana.jpg,R
giniro_hako.wav,hako.jpg,hasami.jpg,L
koniro_hashi.wav,hashi.jpg,hata.jpg,L
pinkuiro_hachi.wav,haburashi.jpg,hachi.jpg,R
mikaniro_batta.wav,batto.jpg,batta.jpg,R
remoniro_happa.wav,happa.jpg,hashigo.jpg,L
chairo_pasokon.wav,pasokon.jpg,pan.jpg,L
akairo_hanga-.wav,hanko.jpg,hanga-.jpg,R
aoiro_hikouki.wav,hituji.jpg,hikouki.jpg,R
hadairo_huutou.wav,huutou.jpg,hune.jpg,L
midoriiro_huraipan.wav,huraipan.jpg,hudebako.jpg,L
nezumiiro_hebi.wav,herumetto.jpg,hebi.jpg,R
kiniro_houki.wav,houki.jpg,houtyou.jpg,L
yokojima_boushi.wav,boushi.jpg,bo-ru.jpg,L
mizutama_makura.wav,manaita.jpg,makura.jpg,R
tatejima_yunomi.wav,yubiwa.jpg,yunoi.jpg,R
shimashima_raita-.wav,raita-.jpg,rajio.jpg,L
yokojima_raketto.wav,raketto.jpg,randoseru.jpg,L
mizutama_ringo.wav,riko-da-.jpg,ringo.jpg,R
tatejima_robotto.wav,rokka-.jpg,robotto.jpg,R
shimashima_wani.wav,wani.jpg,wanpi-su.jpg,L
